Price Data,,,,,,,,,,,,
sourced from LSEG (03/01/2022 - 06/02/2026),,,,,,,,,,,,
,,,,,,,,,,,,
Close Price,,,,Log Returns,,,,,,,,
Date,Boyd Gaming Corp,American Airlines Group Inc,Brinker International Inc,Boyd Gaming Corp,American Airlines Group Inc,Brinker International Inc,,,,,,
Ticker,BYD,AAL,EAT,BYD,AAL,EAT,,,Correlation Matrix,,,
19/09/2022,52.71,14.21,28.26,0.016450256,0.032907118,-0.002826857,,,,,,
20/09/2022,52.22,13.97,28,-0.009339628,-0.017033769,-0.009242867,,,,,,
21/09/2022,50.95,13.23,28.29,-0.024620804,-0.054425195,0.010303875,,,,,,
22/09/2022,48.43,12.71,26.88,-0.050725303,-0.040097893,-0.05112587,,,,,,
23/09/2022,47.02,12.21,25.53,-0.029546413,-0.040133797,-0.051528284,,,,,,
26/09/2022,46.22,11.86,25.03,-0.017160438,-0.029083895,-0.019779126,,,,,,
27/09/2022,46.95,12.27,25.9,0.015670601,0.033985865,0.034167863,,,,,,
28/09/2022,48.25,12.75,26.61,0.027312622,0.038374013,0.027044116,,,,,,
29/09/2022,47.98,12.25,25.63,-0.00561157,-0.040005335,-0.037523545,,,,,,
30/09/2022,47.65,12.04,24.98,-0.006901627,-0.017291497,-0.025688036,,,,,,
03/10/2022,48.75,11.92,24.47,0.022822567,-0.010016778,-0.020627627,,,,,,
04/10/2022,52.48,12.95,26.76,0.073726947,0.082878127,0.089460358,,,,,,
05/10/2022,52.64,12.87,27.6,0.003044142,-0.006196767,0.030907537,,,,,,
06/10/2022,52.29,12.73,26.35,-0.006671139,-0.010937609,-0.046347498,,,,,,
07/10/2022,51.18,12.18,25.43,-0.021456317,-0.04416615,-0.035538696,,,,,,
10/10/2022,50.26,12.05,25.07,-0.018139299,-0.010730602,-0.014257667,,,,,,
11/10/2022,50.5,12.26,25.61,0.004763804,0.017277271,0.021310988,,,,,,
12/10/2022,50.87,12.7,25.92,0.007300023,0.035260063,0.012031971,,,,,,
13/10/2022,51.88,13.05,26.71,0.019660001,0.02718614,0.030023156,,,,,,
14/10/2022,50.6,13.11,26.25,-0.024981783,0.004587164,-0.017372038,,,,,,
17/10/2022,52.71,13.2,27.63,0.040853615,0.006841532,0.05123615,,,,,,
18/10/2022,53.54,13.7,28.44,0.015623847,0.037179003,0.028894466,,,,,,
19/10/2022,52.01,13.99,28.66,-0.02899303,0.020946956,0.007705817,,,,,,
20/10/2022,52.01,13.46,28.27,0,-0.038620464,-0.013701251,,,,,,
21/10/2022,53.45,13.71,29.53,0.02731063,0.018403169,0.043605524,,,,,,
24/10/2022,53.78,14.1,29.62,0.006155013,0.028049304,0.003043113,,,,,,
25/10/2022,54.78,14.29,31.02,0.018423513,0.013385195,0.046182349,,,,,,
26/10/2022,56,14,31.1,0.022026527,-0.020502662,0.002575661,,,,,,
27/10/2022,56.6,13.97,32.07,0.010657294,-0.002145156,0.030713195,,,,,,
28/10/2022,57.66,14,33.82,0.018554707,0.002145156,0.05313133,,,,,,
31/10/2022,57.76,14.18,33.39,0.001732802,0.012775191,-0.01279589,,,,,,
01/11/2022,58.42,14.11,32.47,0.011361802,-0.004948755,-0.027939868,,,,,,
02/11/2022,55.59,13.58,30.09,-0.049654968,-0.038285644,-0.076123695,,,,,,
03/11/2022,54.6,13.73,29.46,-0.017969446,0.010985098,-0.02115948,,,,,,
04/11/2022,56.16,14.11,30.3,0.028170877,0.027300546,0.028114301,,,,,,
07/11/2022,58.11,14.32,28.93,0.034133006,0.014773396,-0.046268594,,,,,,
08/11/2022,58.22,14.25,28.89,0.001891172,-0.004900255,-0.001383605,,,,,,
09/11/2022,57.33,13.98,28.46,-0.015404891,-0.01912917,-0.014995922,,,,,,
10/11/2022,59.17,14.93,32.12,0.03159061,0.065744875,0.120979296,,,,,,
11/11/2022,59.27,14.88,33.29,0.001688619,-0.003354582,0.035778163,,,,,,
14/11/2022,59.23,14.68,34.08,-0.000675106,-0.013532006,0.02345365,,,,,,
15/11/2022,60.27,14.61,34.31,0.017406297,-0.004779797,0.006726155,,,,,,
16/11/2022,60.04,14.09,33.76,-0.003823461,-0.0362409,-0.016160187,,,,,,
17/11/2022,59.38,13.95,33.44,-0.011053537,-0.009985818,-0.009523882,,,,,,
18/11/2022,60.27,14.05,33.87,0.014876998,0.007142888,0.012776879,,,,,,
21/11/2022,59.3,13.85,33.22,-0.016225161,-0.014337163,-0.019377563,,,,,,
22/11/2022,60.81,13.98,34.22,0.025144943,0.009342504,0.029658164,,,,,,
23/11/2022,59.73,14.42,34.6,-0.017919842,0.030988395,0.011043414,,,,,,
25/11/2022,60.26,14.5,34.81,0.008834127,0.005532518,0.00605102,,,,,,
28/11/2022,59.39,13.83,34.56,-0.014542672,-0.047308504,-0.007207758,,,,,,
29/11/2022,60.06,14.14,33.09,0.011218201,0.022167515,-0.043465822,,,,,,
30/11/2022,61.33,14.43,33.45,0.020925057,0.020301712,0.010820665,,,,,,
01/12/2022,60.87,13.98,33.15,-0.007528677,-0.031681636,-0.00900907,,,,,,
02/12/2022,59.82,13.97,32.14,-0.017400389,-0.000715564,-0.030941356,,,,,,
05/12/2022,58.91,14.11,32.56,-0.015329198,0.009971593,0.012983181,,,,,,
06/12/2022,58.33,14.33,32.94,-0.009894315,0.015471476,0.011603184,,,,,,
07/12/2022,58.57,13.55,32.82,0.004106079,-0.055968695,-0.003649639,,,,,,
08/12/2022,58.92,13.6,35.91,0.005957971,0.003683245,0.089977723,,,,,,
09/12/2022,58.64,13.53,35.25,-0.004763534,-0.005160351,-0.018550279,,,,,,
12/12/2022,58.77,14.2,34.57,0.002214463,0.048332522,-0.019479275,,,,,,
13/12/2022,59.48,13.46,35.54,0.012008601,-0.05351964,0.027672569,,,,,,
14/12/2022,58.74,13.35,35.68,-0.012519196,-0.008205939,0.003931485,,,,,,
15/12/2022,57.73,12.93,35.06,-0.017343957,-0.031966192,-0.017529428,,,,,,
16/12/2022,57.12,12.81,35.43,-0.010622651,-0.009324077,0.010498039,,,,,,
19/12/2022,55.24,12.48,33.1,-0.033466989,-0.026098753,-0.068025636,,,,,,
20/12/2022,55.79,12.53,32.62,0.009907313,0.003998406,-0.014607685,,,,,,
21/12/2022,55.75,13.03,32.8,-0.000717232,0.039128622,0.005502918,,,,,,
22/12/2022,54.6,12.56,33.08,-0.020843528,-0.03673723,0.008500355,,,,,,
23/12/2022,55.13,12.71,32.94,0.00966015,0.011871924,-0.004241145,,,,,,
27/12/2022,54.86,12.53,32.86,-0.004909547,-0.014263316,-0.002431612,,,,,,
28/12/2022,53,12.32,32.1,-0.034492572,-0.016901811,-0.023400082,,,,,,
29/12/2022,54.25,12.7,33.52,0.023311079,0.030378035,0.043286245,,,,,,
30/12/2022,54.53,12.72,31.91,0.005148017,0.001573564,-0.049222835,,,,,,
03/01/2023,54.39,12.74,32.42,-0.002570696,0.001571092,0.015856076,,,,,,
04/01/2023,56.21,13.59,34.02,0.032914364,0.064587578,0.048173071,,,,,,
05/01/2023,55.33,13.99,34.54,-0.01577942,0.029008561,0.015169486,,,,,,
06/01/2023,56.22,14.18,35.7,0.015957309,0.013489732,0.033032616,,,,,,
09/01/2023,55.99,14.61,36.62,-0.004099462,0.029873705,0.02544385,,,,,,
10/01/2023,56.32,15.19,37.74,0.005876608,0.038931091,0.030126001,,,,,,
11/01/2023,57.11,15.34,36.79,0.013929521,0.009826479,-0.025494471,,,,,,
12/01/2023,58.34,16.83,36.98,0.021308732,0.092699212,0.005151157,,,,,,
13/01/2023,58.42,17.02,37.56,0.001370333,0.011226115,0.015562428,,,,,,
17/01/2023,59.43,17.08,37.25,0.017140852,0.003519065,-0.00828771,,,,,,
18/01/2023,59.21,16.64,36.82,-0.003708703,-0.026098753,-0.011610769,,,,,,
19/01/2023,58.46,16.28,35.74,-0.012747687,-0.021872075,-0.029770666,,,,,,
20/01/2023,60.13,16.34,37.77,0.028166125,0.003678729,0.055244627,,,,,,
23/01/2023,60.37,16.17,38.42,0.003983408,-0.010458416,0.017063021,,,,,,
24/01/2023,60.96,16.02,37.66,0.009725619,-0.009319732,-0.019979634,,,,,,
25/01/2023,60.72,16.26,38.09,-0.003944778,0.014870162,0.011353257,,,,,,
26/01/2023,61.23,16.61,38.97,0.008364132,0.02129682,0.022840339,,,,,,
27/01/2023,61.17,16.43,39.06,-0.000980392,-0.010895992,0.002306806,,,,,,
30/01/2023,60.37,15.96,38.55,-0.01316458,-0.02902334,-0.013142825,,,,,,
31/01/2023,62.31,16.14,39.46,0.031629634,0.011215071,0.023331401,,,,,,
01/02/2023,62.35,16.69,39.28,0.000641746,0.033509075,-0.004572017,,,,,,
02/02/2023,62.14,17.06,40.47,-0.003373768,0.021926804,0.029845475,,,,,,
03/02/2023,66.48,17.02,41.09,0.067511247,-0.002347419,0.015203824,,,,,,
06/02/2023,64.99,16.92,40.35,-0.022667739,-0.005892769,-0.018173388,,,,,,
07/02/2023,66.45,16.96,41.12,0.022216373,0.002361276,0.018903226,,,,,,
08/02/2023,65.26,16.97,40.74,-0.018070494,0.000589449,-0.00928421,,,,,,
09/02/2023,64.85,16.66,40.67,-0.00630238,-0.018436443,-0.001719691,,,,,,
10/02/2023,65.64,16.28,40.2,0.012108355,-0.023073276,-0.011623724,,,,,,
13/02/2023,65.98,16.51,40.67,0.0051664,0.014028897,0.011623724,,,,,,
14/02/2023,67.14,16.79,40.85,0.017428326,0.016817213,0.004416101,,,,,,
15/02/2023,67.33,16.8,41.06,0.002825911,0.000595415,0.00512759,,,,,,
16/02/2023,65.91,16.39,40.75,-0.021315727,-0.024707494,-0.007578572,,,,,,
17/02/2023,66.19,16.36,39.4,0.004239219,-0.001832062,-0.033690023,,,,,,
21/02/2023,65.01,15.69,38.74,-0.01798829,-0.041815764,-0.016893158,,,,,,
22/02/2023,65.24,15.56,40.73,0.003531674,-0.008320048,0.050092264,,,,,,
23/02/2023,64.89,15.87,39.88,-0.005379249,0.019727016,-0.021089977,,,,,,
24/02/2023,63.57,15.56,38.43,-0.020551868,-0.019727016,-0.037036541,,,,,,
27/02/2023,63.98,15.63,38.02,0.006428874,0.004488626,-0.010726068,,,,,,
28/02/2023,65.13,15.98,38,0.017814738,0.022145796,-0.000526177,,,,,,
01/03/2023,65.09,16.03,39.06,-0.000614345,0.003124026,0.027512766,,,,,,
02/03/2023,65.39,16.12,39.93,0.004598414,0.00559877,0.022028996,,,,,,
03/03/2023,65.84,16.36,38.69,0.006858215,0.014778594,-0.031546752,,,,,,
06/03/2023,64.8,16.12,38.39,-0.015921953,-0.014778594,-0.00778416,,,,,,
07/03/2023,64.91,16.36,38.02,0.001696092,0.014778594,-0.009684672,,,,,,
08/03/2023,64.87,16.59,38.31,-0.000616428,0.013960773,0.007598622,,,,,,
09/03/2023,63.06,15.88,36.42,-0.028298613,-0.043739648,-0.050592884,,,,,,
10/03/2023,61.11,15.46,34.81,-0.031411135,-0.026804413,-0.045213372,,,,,,
13/03/2023,58.92,14.85,34.49,-0.036494927,-0.040256178,-0.009235275,,,,,,
14/03/2023,60.27,14.66,35.22,0.022653876,-0.012877169,0.020944676,,,,,,
